question_type,question,final_query_used,retries,answer,faithfulness,answer_relevancy,context_precision,context_recall,latency
single_hop,What is the minimum age requirement for the Officer-Credit position in JMG Scale-I?,What is the minimum age requirement for the Officer-Credit position in JMG Scale-I?,0,The minimum age requirement for the Officer-Credit position in JMG Scale-I is 21 years.,1.0,0.9999999999998351,0.9999999999666667,1.0,57.71351981163025
single_hop,What is the application fee amount including GST for SC/ST category candidates?,What is the application fee amount including GST for SC/ST category candidates?,0,Rs. 59/-,1.0,0.33621989155245896,0.9999999999,1.0,57.48687958717346
single_hop,What is the maximum file size allowed for uploading the proof of age document in PDF format?,What is the maximum file size allowed for uploading the proof of age document in PDF format?,0,The maximum file size allowed for uploading the proof of age document in PDF format is 500kb.,1.0,0.9999999999998379,0.9999999999,1.0,19.80034351348877
single_hop,"If a candidate wants to use a scribe for the online examination, how much compensatory time are they eligible for per hour?","If a candidate wants to use a scribe for the online examination, how much compensatory time are they eligible for per hour?",0,Those candidates who use a scribe shall be eligible for compensatory time of 20 minutes or otherwise advised for every hour of the examination.,1.0,0.8501726818385335,0.9999999999666667,0.6666666666666666,18.649250030517578
single_hop,"According to the credit history requirements, what is the minimum CIBIL score required at the time of joining the Bank?","According to the credit history requirements, what is the minimum CIBIL score required at the time of joining the Bank?",0,The minimum CIBIL score required at the time of joining the Bank is 680 or above.,0.5,0.913727524857404,0.9999999999,1.0,24.28739333152771
multi_hop,"A 29-year-old candidate with a full-time B.E. in Computer Science and 2 years of experience in deploying AI models wants to apply for the Manager-IT post. Is this candidate eligible regarding age, education, and experience?","A 29-year-old candidate with a full-time B.E. in Computer Science and 2 years of experience in deploying AI models wants to apply for the Manager-IT post. Is this candidate eligible regarding age, education, and experience?",0,I cannot determine the answer from the provided context.,0.5,0.0,0.99999999995,0.6666666666666666,25.773991346359253
multi_hop,"An unemployed ST candidate travels by 2nd Class Rail to attend the Personal Interview. What is the application fee they paid, and what travel reimbursement will they receive?","""ST category application fee and travel reimbursement for 2nd Class Rail personal interview attendance""",1,"The application fee the unemployed ST candidate paid is Rs. 59/-. 

The travel reimbursement they will receive is the actual to and fro 2nd Class Rail fare by the shortest route on production of evidence of travel i.e. Railway Receipt/ Ticket(s) for attending the Interview.",1.0,0.7233827043269088,0.99999999995,1.0,29.867411851882935
multi_hop,"If a candidate applying for the Senior Manager (Data Scientist) role resigns after serving only 2 years, what is the bond amount they must pay the bank?","If a candidate applying for the Senior Manager (Data Scientist) role resigns after serving only 2 years, what is the bond amount they must pay the bank?",0,"To answer this question, we need to verify the exact unique entities and subjects mentioned. The question is about the Senior Manager (Data Scientist) role, which corresponds to the MMG Scale-III position. According to the context, for MMG Scale-III, the bond amount is Rs. 3.00 lakhs and the bond period is 05 Years.

Since the candidate resigns after serving only 2 years, which is less than the specified 5-year bond period, they will have to indemnify the Bank. The context does not provide a prorated amount based on the time served but mentions the candidate will indemnify the Bank up to the extent of the bond amount for all the losses, costs, charges, and expenses.

Therefore, based on the information given, if a candidate applying for the Senior Manager (Data Scientist) role, which is MMG Scale-III, resigns after serving only 2 years, the bond amount they must pay the bank is Rs. 3.00 lakhs.",0.7,0.9822071339765275,0.0,0.0,18.086254596710205
multi_hop,"A candidate has an MBA obtained through distance learning and is applying for a post that requires an MBA. Will this qualification be accepted, and what is the required duration for a valid MBA course?","A candidate has an MBA obtained through distance learning and is applying for a post that requires an MBA. Will this qualification be accepted, and what is the required duration for a valid MBA course?",0,I cannot determine the answer from the provided context.,0.25,0.0,0.8333333332916666,0.5,19.507583379745483
multi_hop,"If a candidate submits multiple online applications for different posts, which application is retained, and what happens to the fees paid for the other applications?","If a candidate submits multiple online applications for different posts, which application is retained, and what happens to the fees paid for the other applications?",0,Only the latest valid and completed application will be retained. The application fee/intimation charges paid for the other multiple registration(s) will stand forfeited.,0.6666666666666666,0.6401217561245933,0.9999999999666667,0.5,8.542885780334473
