question_type,question,gold_answer
single_hop,"What is the minimum age requirement for the Officer-Credit position in JMG Scale-I?","The minimum age requirement for the Officer-Credit position in JMG Scale-I is 21 years."
single_hop,"What is the application fee amount including GST for SC/ST category candidates?","The total amount including GST for SC/ST category candidates is Rs. 59/-."
single_hop,"What is the maximum file size allowed for uploading the proof of age document in PDF format?","The file size for the proof of age document must not exceed 500kb."
single_hop,"If a candidate wants to use a scribe for the online examination, how much compensatory time are they eligible for per hour?","Candidates who use a scribe are eligible for a compensatory time of 20 minutes for every hour of the examination."
single_hop,"According to the credit history requirements, what is the minimum CIBIL score required at the time of joining the Bank?","The candidate must have a minimum CIBIL score of 680 or above at the time of joining the Bank."
multi_hop,"A 29-year-old candidate with a full-time B.E. in Computer Science and 2 years of experience in deploying AI models wants to apply for the Manager-IT post. Is this candidate eligible regarding age, education, and experience?","Yes. The candidate meets the age criteria (Min 25, Max 35), the mandatory educational qualification (Full-time B.E. in Computer Science), and the mandatory experience (Minimum two years in deploying AI/ML models)."
multi_hop,"An unemployed ST candidate travels by 2nd Class Rail to attend the Personal Interview. What is the application fee they paid, and what travel reimbursement will they receive?","The candidate paid an application fee of Rs. 59/- and will be reimbursed the actual to and fro 2nd Class Rail fare upon production of evidence of travel."
multi_hop,"If a candidate applying for the Senior Manager (Data Scientist) role resigns after serving only 2 years, what is the bond amount they must pay the bank?","The candidate must pay a bond amount of Rs. 3.00 lakhs, as the required bond period for MMG Scale-III is 5 years."
multi_hop,"A candidate has an MBA obtained through distance learning and is applying for a post that requires an MBA. Will this qualification be accepted, and what is the required duration for a valid MBA course?","No, the qualification will not be accepted as courses completed through correspondence/part-time/distance mode are not considered. A valid MBA course is required to be Full time and of 02 years duration."
multi_hop,"If a candidate submits multiple online applications for different posts, which application is retained, and what happens to the fees paid for the other applications?","Only the latest valid and completed application will be retained, and the application fees/intimation charges paid for the other multiple registrations will stand forfeited."
adversarial,"If a candidate's signature is uploaded in CAPITAL LETTERS, will the application be accepted as long as the file size is under 20kb?","No. Signature / Hand written declaration in CAPITAL LETTERS will NOT be accepted, regardless of file size."
adversarial,"A candidate does not have a bank account and therefore has no CIBIL score. Does this automatically disqualify them from applying?","No. Candidates with no bank account shall not be required to produce the CIBIL status, and a CIBIL score requirement is not a pre-condition to apply."
adversarial,"If a Visually Impaired candidate opts to use the services of a scribe for the examination, can they also use the facility of viewing the contents of the test in magnifying font?","No. The facility of viewing the contents of the test in magnifying font will not be available to Visually Impaired candidates who use the services of a Scribe."
adversarial,"Can a candidate belonging to the OBC category who falls under the 'creamy layer' claim OBC reservation benefits?","No. Candidates belonging to the OBC category but coming under the creamy layer are not entitled to OBC reservation and should indicate their category as Unreserved."
adversarial,"If a candidate realizes they made a mistake in their application after clicking the COMPLETE REGISTRATION button, can they edit the form if the deadline has not passed?","No. No change is permitted after clicking on the COMPLETE REGISTRATION button."
not_answerable,"What will be the exact date and venue for the Personal Interview for the Officer-Credit post?","I cannot determine the answer from the provided context."
not_answerable,"How many questions will be asked in the Professional Knowledge section for the Manager-Cyber Security online test?","I cannot determine the answer from the provided context."
not_answerable,"What is the passing cutoff percentage for the online written examination for General category candidates?","I cannot determine the answer from the provided context."
noisy_query,"I am 36 years old and want to apply for Senior Manager IT MMGS-III. do I need a certification and what should my degree be?","For the Senior Manager-IT (MMGS-III) post, the age limit is Min 27 and Max 38 years. The mandatory educational qualification is a Full-time degree in B.E./B.Tech in Computer Science/Information Technology/Information Science OR Full-time M.C.A. The mandatory certification is GenAI/ AI/ ML certifications from recognized platforms."
noisy_query,"pic dimensions and rules for taking photo with glasses","The photograph must be a recent passport style colour picture (4.5cm x 3.5cm) with preferred dimensions of 200 x 230 pixels. If you wear glasses, make sure there is no reflection and eyes can be clearly seen. Dark glasses and sunglasses are not acceptable."
noisy_query,"what happens if the server crashes and I pay my fee twice for the general category?","If you pay twice, Bank transaction charges will have to be borne by the candidate. Candidates are advised to wait for the intimation from the server and DO NOT press Back or Refresh button in order to avoid double charge. The general category fee is Rs. 1180/-."
